movie_name,release_date
千禧曼波,2001/11/17
KANO,2014/02/27
巴黎，德州,2016/09/02
情書,2016/09/09
音速小子 3,2017/01/19
她與他們的愛情,2017/09/08
失樂園,2017/09/08
無人知曉的夏日清晨,2018/06/08
坂本龍一:async紐約現場,2018/07/13
彩雲飛,2019/01/19
普羅米亞,2019/08/16
小丑,2019/10/03
星際效應,2019/10/05
風兒踢踏踩,2019/10/19
燃燒女子的畫像,2019/12/20
誤判,2019/12/27
我的英雄學院劇場版：英雄新世紀,2020/04/01
銀翼殺手最終版,2020/06/12
東邪西毒：終極版(數位粵語版),2020/06/19
EYES ON ME : THE MOVIE,2020/06/24
恐怖份子,2020/06/24
藍色恐懼：4K數位修復版,2020/07/17
再見箱舟,2020/09/05
《少女與戰車 最終章》第1+2話,2020/10/07
幻愛,2020/10/15
悄悄告訴她 經典數位修復,2020/10/30
玩美女人 經典數位修復,2020/10/30
破碎的擁抱 經典數位修復,2020/10/30
GIVEN~被贈與的未來 劇場版,2020/11/06
未來的我們,2020/11/27
愛在黎明破曉時,2020/12/04
愛在日落巴黎時,2020/12/04
法蘭克,2021/01/15
龍貓,2021/01/29
鬼影,2021/02/10
墮落天使  4K數位修復版,2021/02/19
竊聽風暴,2021/02/26
我的母親 經典數位修復,2021/02/26
歡樂時光（上）,2021/02/26
歡樂時光（下）,2021/02/26
我愛你，你愛她，她愛他,2021/03/12
顫抖的慾望 經典數位修復,2021/03/26
父親,2021/04/16
女畫家與偷畫賊,2021/05/14
花束般的戀愛,2021/07/16
群青戰記,2021/07/22
魔法少女小圓劇場版 [新篇] 叛逆的物語,2021/08/13
薩滿,2021/08/25
花神咖啡館,2021/09/10
沙丘,2021/09/16
腦海中的橡皮擦,2021/09/17
攔截聲命線,2021/10/08
心靈遊戲,2021/10/09
嵐 5x20演唱會電影～回憶全記錄～,2021/11/03
諸葛四郎─英雄的英雄,2021/11/12
濁水漂流,2021/11/19
《少女與戰車 最終章》 第3話,2021/11/19
偶然與想像,2021/11/26
青春特調蜂蜜檸檬蘇打,2021/12/03
GIVEN~被贈與的未來 劇場版：反面的存在,2021/12/09
藍宇,2021/12/10
夏日之戀,2021/12/12
2gether電影版：只因我們天生一對,2021/12/24
鈦,2021/12/24
在車上,2021/12/24
記憶,2021/12/25
麥特與麥斯,2021/12/30
世界上最爛的人,2022/01/01
瀕臨崩潰邊緣的女人 經典數位修復,2022/02/04
詛咒,2022/02/04
BJ單身日記,2022/02/11
電影版 昨日的美食,2022/02/18
該死的阿修羅,2022/03/02
漂浪人生,2022/03/19
SEVENTEEN POWER OF LOVE : THE MOVIE,2022/04/20
重慶森林 4K數位修復版,2022/04/22
深海獵奇,2022/05/14
馬達加斯加：狐猴之島,2022/05/14
最後的冰川,2022/05/14
哈勃望遠鏡,2022/05/14
回歸野性,2022/05/14
捍衛戰士: 獨行俠,2022/05/23
小小兵2:格魯的崛起,2022/07/01
春日小戀曲,2022/08/12
哈勇家,2022/08/12
蜘蛛人：無家日 戲院加長版,2022/09/02
神隱少女(日文版),2022/09/08
花樣年華 4K數位修復版,2022/09/16
飯戲攻心,2022/09/23
正發生,2022/09/30
以你的名字呼喚我,2022/10/14
大逃殺 4K數位修復版,2022/11/04
如歌的行板,2022/11/05
黑豹 2：瓦干達萬歲,2022/11/09
2046 4K數位修復版,2022/11/14
劇場版 歌之☆王子殿下♪ 真愛ST☆RISH TOURS,2022/11/18
天空之城(日文版),2022/11/25
大熊貓(國語版),2022/12/01
海底世界(國語版),2022/12/05
一起一起,2022/12/16
蘿拉快跑,2022/12/17
朝聖之路：聖雅各,2022/12/23
鬼搖靈2：陰語陣陣,2022/12/23
鬼壓床了沒,2022/12/23
劇場版 弦音 ─初始的一射─,2022/12/30
灌籃高手 THE FIRST SLAM DUNK,2022/12/31
日麗,2023/01/25
霍爾的移動城堡,2023/02/01
青春養成記,2023/02/08
毒舌大狀,2023/02/17
愛情美樂地,2023/02/17
巫母,2023/02/24
本日公休,2023/02/26
投奔怒海,2023/03/03
8釐米：詛咒影帶,2023/03/10
小淘氣尼古拉：快樂的源頭,2023/03/24
夏日悄悄話,2023/03/31
魔女宅急便(日語版),2023/03/31
鬼玩人 4K數位修復版,2023/04/07
四百擊,2023/04/16
魯蛇大翻身,2023/04/28
窄路微塵,2023/04/28
神鬼第六感,2023/05/05
收陰機,2023/05/19
鷹勇潛艦,2023/05/19
烈火焚身,2023/05/19
BLUE GIANT 藍色巨星,2023/06/02
蜘蛛人：穿越新宇宙,2023/06/21
小行星城,2023/06/23
小提琴天后慕特：愛樂一生,2023/06/30
元素方城市(英文版),2023/06/30
不可能的任務：致命清算 第一章,2023/07/06
暗湧情事,2023/07/07
回不去的那座山,2023/07/15
飛躍吧！金牌英雄,2023/07/15
Barbie芭比,2023/07/20
奧本海默,2023/07/21
電影哆啦A夢：大雄與天空的理想鄉,2023/07/21
假裝沒事,2023/07/28
GT：跨界玩家,2023/08/03
忍者龜：變種大亂鬥,2023/08/04
一個人的朝聖,2023/08/04
景深之中,2023/08/11
親密（前編）,2023/08/12
親密（後編）,2023/08/12
四月物語：數位修復版,2023/08/16
喜幹會,2023/08/18
限時引爆,2023/08/21
MAMAMOO：MY CON THE MOVIE,2023/08/25
粽邪3 :鬼門開,2023/08/25
私刑教育3,2023/08/31
鬼修女II,2023/09/07
劇場版 少女☆歌劇 Revue Starlight,2023/09/08
換宿夜驚魂,2023/09/11
威尼斯魅影謀殺案,2023/09/15
德黑蘭雙面疑雲,2023/09/15
岸邊露伴在羅浮,2023/09/15
少女☆歌劇 Revue Starlight RONDO RONDO RONDO,2023/09/15
我的天堂城市,2023/09/15
自由之聲,2023/09/19
偉大的十四世：達賴喇嘛,2023/09/22
劇場版IDOLiSH7-偶像星願- LIVE 4bit BEYOND THE PERiOD<DAY2>,2023/09/22
劇場版IDOLiSH7-偶像星願- LIVE 4bit BEYOND THE PERiOD<DAY1>,2023/09/22
在旅途中：方濟各的朝聖之旅,2023/09/28
奪魂鋸X,2023/09/28
劇場版 PSYCHO-PASS 心靈判官 PROVIDENCE,2023/09/28
觸不到的肌膚,2023/09/28
他馬克老闆,2023/09/28
汪汪隊立大功：超級大電影（國語版）,2023/09/29
A.I.創世者,2023/09/29
藍色情挑 經典數位修復,2023/09/30
沒有國家的冠軍,2023/10/06
大法師:信徒,2023/10/06
塞納河上的船屋,2023/10/06
蒼鷺與少年(日文版),2023/10/06
周處除三害,2023/10/06
白色情迷 經典數位修復,2023/10/07
少年Pi的奇幻漂流（英國國家劇院現場）,2023/10/13
女鬼橋2：怨鬼樓,2023/10/13
紅色情深 經典數位修復,2023/10/14
雉岳山怪談,2023/10/20
花月殺手,2023/10/20
笨錢效應,2023/10/20
杜巴利伯爵夫人,2023/10/20
交響狂花,2023/10/20
塵埃之書：野美人號（英國國家劇院現場）,2023/10/25
佛萊迪餐館之五夜驚魂,2023/10/27
超危險保鑣,2023/10/27
新核能時代,2023/10/27
野獸們,2023/10/27
惡女,2023/10/27
青春並不溫柔,2023/10/27
日子,2023/10/27
撼山河 撼向世界,2023/11/01
鬼車站,2023/11/03
困獸,2023/11/03
泰勒絲 | 年代巡迴演唱會電影,2023/11/03
小嫉妒,2023/11/03
詭屋,2023/11/03
我家的故事,2023/11/03
戰場日記,2023/11/05
驚奇隊長 2,2023/11/08
琳達想吃雞!(中文版),2023/11/10
茱莉亞四重奏,2023/11/10
電影版 勿說是推理,2023/11/10
WOMEN 我們不知道的事,2023/11/10
五月雪,2023/11/11
車頂上的玄天上帝,2023/11/11
天一亮，就想見到你,2023/11/12
飢餓遊戲：鳴鳥與游蛇之歌,2023/11/17
恐怖感恩劫,2023/11/17
少男少女,2023/11/17
野火蔓延時,2023/11/24
拿破崙,2023/11/24
下一球，勝利,2023/11/24
阿爾及爾的末代王后,2023/11/24
老狐狸,2023/11/24
直線偏執狂（英國國家劇院現場）,2023/11/30
海鷗 （英國國家劇院現場）,2023/11/30
全羅道少年殺人事件,2023/12/01
五月的35日,2023/12/01
富都青年,2023/12/01
無聲夜,2023/12/01
壁花男孩,2023/12/01
進化症候群,2023/12/01
屍禁,2023/12/01
花腐,2023/12/01
BIG,2023/12/01
夢行者保羅,2023/12/04
旺卡(英文版),2023/12/05
水鬼,2023/12/08
年少日記,2023/12/08
魔髮精靈：樂團在一起 (國語版),2023/12/08
海豚男孩-國語版,2023/12/08
歡迎來到駒田蒸餾所,2023/12/08
鄰人Ｘ：謎樣的女子,2023/12/08
小曉,2023/12/08
絕地追擊,2023/12/08
12.12：首爾之春,2023/12/15
鬼6怨,2023/12/15
夜校,2023/12/15
超級救援狗,2023/12/15
小行星獵人,2023/12/15
青春 (春),2023/12/15
荒漠斷背情,2023/12/15
青春豬頭少年不會夢到紅書包女孩,2023/12/15
愛是一把槍,2023/12/15
窗邊的小荳荳,2023/12/19
水行俠 失落王國,2023/12/20
愛在閃電下,2023/12/20
餓之必要,2023/12/22
巫術,2023/12/22
送葬人,2023/12/22
法拉利,2023/12/22
贖罪日之戰,2023/12/22
東尼瀧谷:數位經典版,2023/12/22
寬鬆世代又怎樣：INTERNATIONAL,2023/12/22
銀河鐵道之夜,2023/12/22
千年決鬥,2023/12/22
我的完美日常,2023/12/24
日安，我的母親,2023/12/25
赤心巔峰,2023/12/25
初戀你我他,2023/12/26
慾望之翼,2023/12/26
星願(英文版),2023/12/26
電影版 淘氣小企鵝啵樂樂 超級明星大冒險(國語版),2023/12/29
情牽浮生戲,2023/12/29
金手指,2023/12/29
藍色的你,2023/12/29
人犬,2023/12/29
愛情轉移,2023/12/29
春風勁草,2023/12/29
潛行,2023/12/30
魔法公主,2023/12/30
坂本龍一：OPUS,2023/12/31
紅豬,2024/01/01
一一,2024/01/01
鬼媽媽的假期,2024/01/05
韓國都市恐怖怪談：詭手,2024/01/05
巴赫曼-沙漠追愛之旅,2024/01/05
怪胎女孩,2024/01/05
叛諜檔案,2024/01/05
魔籽公主,2024/01/05
雙眼之間,2024/01/05
月,2024/01/05
搖滾吧！中二樂團,2024/01/05
壞男孩,2024/01/05
怒潮,2024/01/05
鬼聲泣,2024/01/08
妙想天開,2024/01/09
爆裂點,2024/01/11
露梁：死亡之海,2024/01/12
蜂刑者,2024/01/12
網紅教慾,2024/01/12
少女與戰車 劇場版,2024/01/12
細野晴臣：再會美國,2024/01/12
消失的她,2024/01/12
春光乍洩  4K數位修復版,2024/01/13
美麗的聲音,2024/01/19
戰火下的小狐狸,2024/01/19
他的最後一個朋友,2024/01/19
一個人的逃亡,2024/01/19
貓王與我,2024/01/19
我不是教你詐,2024/01/19
SPY x FAMILY CODE: White,2024/01/19
光之美少女電影 ALL STARS F,2024/01/19
妖怪森林,2024/01/19
魅舞,2024/01/19
明天比昨天長久,2024/01/19
邪惡根本不存在,2024/01/20
一點一滴的死/長夜/一個女人生命中的三小時/山雨欲來,2024/01/20
五福女孩/隔河/再見觸身/泳夜,2024/01/20
注意看，這個女人⋯⋯/如果時間在此刻停下/我可以暫時逃跑一下嗎？,2024/01/21
臨時劫案,2024/01/23
劇場版 轉生成女性向遊戲只有毀滅 END 的壞人大小姐,2024/01/25
金派特攻隊,2024/01/26
邪妓,2024/01/26
源生罪,2024/01/26
醉鄉民謠,2024/01/26
去唱卡拉OK吧！,2024/01/26
情慾的界線,2024/01/26
莫斯科行動,2024/01/26
拯救嫌疑人,2024/01/26
飛鴨向前衝,2024/01/27
墜惡真相,2024/01/27
還錢,2024/01/27
機密特務:阿蓋爾,2024/01/31
鬼太郎誕生：咯咯咯之謎,2024/02/01
歡迎光臨黑手黨餐廳,2024/02/02
愛愛愛上你,2024/02/02
火上鍋,2024/02/02
戰地琴人,2024/02/02
在路上男情難未了,2024/02/02
不完美的愛情革命,2024/02/02
佩佩的電影派對（國語版）,2024/02/03
"Fukuyama Masaharu Live Film Kotodama no Sakiwau Natsu ""Boy Meets The Music"" @Nippon Budokan 2023",2024/02/06
外星+人2：回到未來,2024/02/07
七月返歸,2024/02/07
夢想集中營,2024/02/08
可憐的東西,2024/02/08
《少女與戰車 最終章》 第４話,2024/02/08
小子,2024/02/08
蜘蛛夫人,2024/02/14
再見機器人,2024/02/14
天眼救援,2024/02/16
鬼燭靈,2024/02/16
上流誘惑,2024/02/16
失控教室,2024/02/21
日日好狗日,2024/02/23
蓋世怪胎,2024/02/23
鬼影直播,2024/02/23
唐人街恰恰,2024/02/23
給我個機會,2024/02/23
「鬼滅之刃」 絆之奇蹟，邁向柱訓練,2024/02/23
鐵道員,2024/02/23
逆轉廢材人生,2024/02/24
悲情城市,2024/02/25
法庭遊戲,2024/02/26
飯戲攻心2,2024/02/28
沙丘：第二部,2024/02/28
鬼怨偶,2024/03/01
滯留生,2024/03/01
師情化慾,2024/03/01
雙面薇若妮卡 經典數位修復,2024/03/01
極限長征,2024/03/06
天使之心,2024/03/07
破墓,2024/03/08
BTOB,2024/03/08
反貪風暴之加密危機,2024/03/08
兩萬種蜜蜂,2024/03/08
電影版 X光室的奇蹟,2024/03/08
金門,2024/03/08
尋找小津,2024/03/11
不是你不愛你,2024/03/14
